"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"423.","What is the maximum speed limit for limited access highways in Florida?","30 mph","55 mph","70 mph","90 mph","3","Section 7.1, A, “Standard Speed Limits in Florida” states, “Florida’s standard speed limits are as follows: . . . Limited access highways: 70 mph.”"
"424.","What is the effect of speeding while driving?","Decreases the risk of crashes","Increases both the risk and severity of crashes","Reduces the impact force by four times","None of the above","2","Section 7.1, “Speed Limits” states, “Obeying the speed limit is one of the most important things you can do as a driver because speeding seriously increases both the risk and severity of crashes.”"
"425.","What are some of the “special hazards” that require drivers to slow down in Florida?","School zones","Construction zones","Hill crests and narrow roads","All of the above","3","Section 7.1, C, “Requirement to Slow Down Before Intersections and Other ‘Special Hazards’” states, “As laid out in Florida statute 316.185, whether or not they are driving below the speed limit, drivers are required to slow down when approaching intersections as well as other ‘special hazards,’ which include: . . . Hill crests. Narrow or winding roadways.”"
"426.","What is the minimum speed for driving on Florida highways with a speed limit of 70 mph?","30 mph","50 mph","70 mph","There is no minimum speed","2","Section 7.1, B, “Minimum Driving Speeds” states, “Remember that Florida highways with a speed limit of 70 mph have a minimum speed of 50 mph.”"
"427.","What is the penalty for driving between 10 and 14 mph over the speed limit in Florida?","$25 fine","$100 fine","$200 fine","$300 fine","2","Section 7.1, D, “Legal Consequences for Speeding” states, “The standard penalties for speeding are as follows: . . . 10 to 14 mph over the speed limit: $100 fine.”"
"428.","How many points are added to your driving record for speeding in Florida?","1 point","2 points","3 points","4 points","3","Section 7.1, D, ii, “Points Added to Driving Record” states, “Here are the points associated with some common speeding violations: Speeding: 3 points.”"
"429.","What is the duration of driver's license suspension associated with accumulating 24 points within 36 months?","30-day suspension","Three-month suspension","One-year suspension","There is no suspension for accumulating 24 points","3","Section 7.1, D, ii, “Points Added to Driving Record” states, “Here is the duration of driver's license suspension associated with point accumulation over specific periods: . . . 24 points within 36 months: One-year suspension.”"
"430.","What is the penalty for speeding in a zone posted for an electronic or manual toll collection facility with a warning device about doubled fines?","The same as the standard speeding fine","A doubled fine","A tripled fine","A quadrupled fine","2","Section 7.1, D, iii, “Penalties for More Serious Speeding Violations” states, “There are also increased fines for speeding in specially defined areas such as: . . . Zones posted for an electronic or manual toll collection facility (as long as the authority controlling the toll collection zone has installed a traffic control device warning drivers that speeding fines are doubled).”"
"431.","Doubling your driving speed doubles your vehicle’s force of impact.","True","False","","","2","Section 7.1, “Speed Limits” states, “It’s easier to understand why speeding is so dangerous when you consider that doubling your driving speed increases your vehicle’s force of impact by four times.”"
"432.","A ""speeding buffer"" of 10 mph above the speed limit is legal in Florida.","True","False","","","2","Section 7.1, “Speed Limits” states, “There is a common misconception about a ‘speeding buffer,’ wherein some drivers believe they can drive as much as 10 mph above the speed limit, but this is not the case. Speeding is illegal, and all drivers are legally required to obey the speed limit.”"
"433.","The standard speed limit for streets and highways in Florida is 55 mph.","True","False","","","1","Section 7.1, A, “Standard Speed Limits in Florida” states, “Florida’s standard speed limits are as follows: . . . Streets and highways: 55 mph.”"
"434.","Drivers in Florida are required to slow down when approaching intersections and other special hazards.","True","False","","","1","Section 7.1, C, “Requirement to Slow Down Before Intersections and Other ‘Special Hazards’” states, “As laid out in Florida statute 316.185, whether or not they are driving below the speed limit, drivers are required to slow down when approaching intersections as well as other ‘special hazards.’”"
"435.","Violations of the requirement to slow down for special hazards are punishable by a $60 fine.","True","False","","","1","Section 7.1, C, “Requirement to Slow Down Before Intersections and Other ‘Special Hazards’” states, “Violations of this law are classified as noncriminal traffic infractions and are punishable as moving violations. All moving violations not requiring a mandatory appearance are punishable by a $60 fine.”"
"436.","The standard penalty for speeding 15 to 19 mph over the speed limit in Florida is a $150 fine.","True","False","","","1","Section 7.1, D, i, “Fines” states, “The standard penalties for speeding are as follows: . . . 15 to 19 mph over the speed limit: $150 fine.”"
"437.","Speeding can result in the addition of points to your driving record in Florida.","True","False","","","1","Section 7.1, D, ii, “Points Added to Driving Record” states, “Speeding can also result in the addition of points to your driving record.”"
"438.","What do yellow traffic signs indicate?","Directions","Hazardous conditions","Regulations","Schools","2","Section 7.2, A, i, “Traffic Sign Colors” states, “Yellow signs prepare drivers for hazards and unexpected road conditions ahead.”"
"439.","What do blue traffic signs indicate?","Hazardous conditions","Parks and recreational areas","Regulations","Upcoming food and lodging options","4","Section 7.2, A, i, “Traffic Sign Colors” states, “Blue signs: These are geared toward travelers and give information such as where to find food or lodging.”"
"440.","What does an octagon-shaped sign indicate?","Yield","Stop","Warning for potential hazards","No passing zone","2","Section 7.2, A, ii, “Traffic Sign Shapes and Their Meaning” states, “The shape of traffic signs also provides valuable information about what the signs mean: Octagon (eight-sided): Stop.”"
"441.","What does a diamond-shaped sign indicate?","Yield","Stop","Warning for potential and existing hazards","No passing zone","3","Section 7.2, A, ii, “Traffic Sign Shapes and Their Meaning” states, “The shape of traffic signs also provides valuable information about what the signs mean: . . . Diamond: Warning for potential and existing hazards (e.g., warnings such as ‘caution’).”"
"442.","What does a crossbuck sign indicate?","Yield","Stop","Warning for potential hazards","Railroad crossing","4","Section 7.2, A, ii, “Traffic Sign Shapes and Their Meaning” states, “The shape of traffic signs also provides valuable information about what the signs mean: . . . Crossbuck: Railroad crossing.”"
"443.","What do solid red lights on a traffic signal mean?","Proceed with caution","Slow down","Stop","Do not enter this lane","3","Section 7.2, B, i, “Meanings of Traffic Signals” states, “A solid red light means stop, yellow means slow or yield, and green means go.”"
"444.","What do solid yellow lights on a traffic signal mean?","Proceed with caution","Slow down","Stop","Do not enter this lane","1","Section 7.2, B, i, “Meanings of Traffic Signals” states, “A solid red light means stop, yellow means slow or yield, and green means go.”"
"445.","What does a flashing red signal on a traffic light indicate?","Proceed with caution","Slow down","Stop","Yield the right-of-way","3","Section 7.2, B, i, “Meanings of Traffic Signals” states, “A red flashing signal on a traffic light indicates that you should treat the light like a stop sign and yield the right-of-way as you would at an intersection controlled by stop signs.”"
"446.","Traffic signs with a red background are used to provide information about upcoming hazards.","True","False","","","2","Section 7.2, A, i, “Traffic Sign Colors” states, “Red signs: These signs mean you need to take (or avoid) immediate action.”"
"447.","A yellow flashing light on a traffic signal means you should slow down and proceed with caution.","True","False","","","1","Section 7.2, B, i, “Meanings of Traffic Signals” states, “A yellow flashing light means you should slow and proceed with caution, ensuring the intersection is clear and yielding the right-of-way accordingly.”"
"448.","Pennant-shaped signs are used to indicate no passing zones.","True","False","","","1","Section 7.2, A, ii, “Traffic Sign Shapes and Their Meaning” states, “The shape of traffic signs also provides valuable information about what the signs mean: . . . Pennant: No passing zones.”"
"449.","Green traffic signs provide guidance or directional information, such as highway entrances and exits.","True","False","","","1","Section 7.2, A, i, “Traffic Sign Colors” states, “Green signs: These signs provide guidance or directional information, such as highway entrances and exits.”"
"450.","Drivers are required to stop at a stop sign only if there is another vehicle crossing.","True","False","","","2","Section 7.2, A, iii, “Regulatory Signs” states, “When approaching a stop sign, you must bring your car to a complete stop at the stop line.”"
"451.","The shape of a traffic sign provides no information about what the sign means.","True","False","","","2","Section 7.2, A, ii, “Traffic Sign Shapes and Their Meaning” states, “The shape of traffic signs also provides valuable information about what the signs mean.”"
"452.","Brown traffic signs communicate traffic regulations such as speed limits or give commands.","True","False","","","2","Section 7.2, A, i, “Traffic Sign Colors” states, “Brown signs: This color lets you know of parks, recreational areas, and culturally and historically significant areas.”"
"453.","When must you stop for a school bus that has stopped to pick up or drop off children?","Only if you are driving on a two-way street","Only if you are traveling in the opposite direction on a divided highway","If you are driving on a two-way street or highway, regardless of your direction","Only if there are no barriers between your lane and traffic traveling in the opposite direction","3","Section 7.3, A, “Laws on Stopping for School Buses” states, “If you are driving on a two-way street or highway, regardless of your direction, you must stop for a school bus that has stopped to pick up or drop off children.”"
"454.","What is the exception to the legal requirement to stop for school buses displaying their stop signal?","If you are driving on a two-way street","If you are traveling in the opposite direction on a divided highway","If there are no barriers between your lane and traffic traveling in the opposite direction","If you are traveling in the same direction as the school bus","2","Section 7.3, A, i, “Exception to Requirement to Stop” states, “The only exception to the legal requirement to stop for school buses displaying their stop signal is if you are traveling in the opposite direction on ‘a divided highway with an unpaved space of at least 5 feet, a raised median, or a physical barrier’ between your lane and traffic traveling in the opposite direction.”"
"455.","What is the legal consequence for failure to stop for a school bus for the first time?","A warning","A minimum of $200 penalty","A minimum of $400 penalty","There is no legal consequence","2","Section 7.3, A, ii, “Legal Consequences for Failure to Stop” states, “The penalty for failure to stop for a school bus is a minimum of $200; if you commit the same offense a second time in five years, your license will be suspended for up to one year.”"
"456.","What is the penalty for passing a school bus on the side where children enter and exit the bus while it displays its stop signal?","A minimum $200 penalty","A minimum $400 penalty","License suspension of up to one year","License suspension of up to two years","2","Section 7.3, A, ii, “Legal Consequences for Failure to Stop” states, “Passing a school bus on the side where children enter and exit the bus while it displays its stop signal has even more severe consequences: a minimum $400 penalty and if you do so twice in five years, license suspension of up to two years.”"
"457.","What is the Cameron Mayhew Act?","A law requiring school buses to be equipped with safety belts or other restraint systems","A law that increases the minimum penalty for drivers who illegally pass a stopped school bus, resulting in injury or death of another person","A law that requires vehicles to stop at all railroad crossings","A law that requires drivers to complete a Driver Improvement Course upon conviction of failure to stop for a school bus","2","Section 7.3, A, ii, “Legal Consequences for Failure to Stop” states, “The 2017 Cameron Mayhew Act ‘increase[d] the minimum penalty for drivers who illegally pass a stopped school bus, resulting in the injury or death of another person.’”"
"458.","What is required of school bus passengers with safety belts/restraint systems?","They must wear a properly adjusted and fastened safety belt at all times while the bus is in operation","They are not required to wear a safety belt","They must wear a safety belt only on highways","They must wear a safety belt only if they are below the age of 18","1","Section 7.3, B, i, “Safety Belts/Other Restraint Systems on School Buses” states, “This statute also dictates that all passengers on school buses with safety belts/restraint systems must ‘wear a properly adjusted and fastened safety belt at all times while the bus is in operation.’”"
"459.","What is the penalty for violating the requirement to stop at all railroad crossings while driving a school bus?","A warning","A noncriminal traffic infraction","A $60 fine","License suspension of up to one year","3","Section 7.3, B, ii, “Stopping at All Railroad Crossings” states, “Violating this requirement while driving a school bus is considered a noncriminal traffic infraction, which is considered a moving violation. All moving violations that do not require a mandatory appearance are punishable by a $60 fine.”"
"460.","When a school bus displays its stop signal, you can legally pass the bus on a two-way street or highway.","True","False","","","2","Section 7.3, A, “Laws on Stopping for School Buses” states, “When a school bus displays its stop signal, it is illegal for you to pass the bus. If you are driving on a two-way street or highway, regardless of your direction, you must stop for a school bus that has stopped to pick up or drop off children.”"
"461.","If you are traveling on a divided highway with an unpaved space of at least 5 feet, a raised median, or a physical barrier between your lane and traffic traveling in the opposite direction, you must stop for a school bus displaying its stop signal.","True","False","","","2","Section 7.3, A, i, “Exception to Requirement to Stop” states, “The only exception to the legal requirement to stop for school buses displaying their stop signal is if you are traveling in the opposite direction on ‘a divided highway with an unpaved space of at least 5 feet, a raised median, or a physical barrier’ between your lane and traffic traveling in the opposite direction.”"
"462.","Failure to stop for a school bus displaying its stop signal is considered a moving violation.","True","False","","","1","Section 7.3, A, ii, “Legal Consequences for Failure to Stop” states, “Florida statute 316.172 is the law requiring drivers to stop for school buses. This law states that ‘any person using, operating, or driving a vehicle that passes a school bus on the side that children enter and exit when the school bus displays a stop signal commits a moving violation’ that is subject to citation.”"
"463.","The penalty for failing to stop for a school bus is a minimum of $200, and passing a school bus twice in five years can result in a license suspension of up to one year.","True","False","","","1","Section 7.3, A, ii, “Legal Consequences for Failure to Stop” states, “The penalty for failure to stop for a school bus is a minimum of $200; if you commit the same offense a second time in five years, your license will be suspended for up to one year.”"
"464.","One of the penalties for drivers who illegally pass a stopped school bus resulting in injury or death is 120 hours of community service in a hospital/trauma center.","True","False","","","1","Section 7.3, A, ii, “Legal Consequences for Failure to Stop” states, “If you pass a stopped school bus, and your failure to stop leads an injury or death, you may be subject to the following penalties: 120 hours of community service in a hospital or trauma center.”"
"465.","All school buses used to transport students in pre-kindergarten through 12th grade must be equipped with safety belts or other approved restraint systems, unless the bus was purchased before December 31, 2000.","True","False","","","1","Section 7.3, B, i, “Safety Belts/Other Restraint Systems on School Buses” states, “Florida statute 316.6145 requires any school bus used to transport students in pre-kindergarten through 12th grade to ‘be equipped with safety belts or with any other restraint system approved by the Federal Government in a number sufficient to allow each student who is being transported to use a separate safety belt or restraint system.’ This requirement does not apply to school buses purchased before December 31, 2000.”"
"466.","School buses carrying schoolchildren must always stop at railroad crossings and are not exempt from this requirement.","True","False","","","1","Section 7.3, B, ii, “Stopping at All Railroad Crossings” states, “Before proceeding through a railroad crossing, certain kinds of vehicles are required to stop ‘within 50 feet but not less than 15 feet from the nearest rail of the railroad and, while so stopped, shall listen and look in both directions along the track for any approaching train, and for signals indicating the approach of a train . . . and shall not proceed until he or she can do so safely.’ Vehicles required to follow this law at all railroad crossings include: School buses carrying schoolchildren.”"
"467.","What should you do if an emergency vehicle is signaling while approaching your vehicle?","You should continue driving as usual","You should pull over to the side of the road and stop your vehicle","You should increase your speed to move out of the way","","2","Section 7.4, A, i, “What to Do When an Emergency Vehicle Approaches While Signaling” states, “If an emergency vehicle like a fire truck or ambulance is signaling (e.g., using their sirens with blue and/or red lights), all other vehicles should yield the right of way. To give emergency vehicles adequate room to pass and allow them to make it to the location of the emergency as quickly as possible, you should move your car ‘as close as reasonable to the closest edge of the curb of the roadway, clear of any intersection and shall stop and remain in position until the authorized emergency vehicle has passed.’”"
"468.","Which of the following vehicles do you need to move over for according to Florida’s Move Over Act?","Any vehicle parked on the roadside","Emergency vehicles using any visual signals","None of the above","","2","Section 7.4, A, ii, “What to Do if You See a Specialized Vehicle on the Roadside” states, “According to Florida’s Move Over Act, if you see certain kinds of specialized vehicles parked or performing services on the roadside and are driving on a roadway with two or more lanes, you must move out of the lane closest to the vehicle if possible. Such specialized vehicles include: Emergency vehicles using any visual signals.”"
