"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"72.","What is scanning as a driving skill?","Focusing only on the road ahead of you","Keeping track of everything ahead of and in the 360 degrees around your car","Focusing only on the sides and behind you","Focusing only on the road in front of you","2","Section 3.1, A, “Scanning for Hazards” states, “Scanning is an essential skill for drivers. It involves keeping track of everything ahead of you and in the 360 degrees surrounding your car.”"
"73.","How far ahead should you scan while driving?","2 to 5 seconds","10 to 15 seconds","30 seconds","1 minute","2","Section 3.1, A, “Scanning for Hazards” states,“Scan about 10 to 15 seconds ahead to give yourself time to react to any hazards.” "
"74.","Why is it important to check your surroundings when approaching a crosswalk, railroad crossing, or intersection?","To ensure other drivers will follow traffic laws","To see if other vehicles are slowing down","To see if other drivers will stop at a stop sign or red light","All of the above","4","Section 3.1, A, “Scanning for Hazards” states, “When you approach a crosswalk, railroad crossing, or intersection, always look left and right before continuing. Check even if other traffic has a stop sign or red light. There’s no guarantee that other drivers will follow traffic laws.”"
"75.","When is it especially important to check for vehicles and objects behind you while driving?","When changing lanes","When going in reverse","When slowing down","All of the above","4","Section 3.1, A, “Scanning for Hazards” states, “It’s especially critical to check for vehicles and objects in the following scenarios: When you are about to change lanes . . . When you’re going in reverse . . . [And] [w]hen you’re slowing down.”"
"76.","How often should you check your rear and side-view mirrors?","Every 10 to 15 seconds","Every 2 to 5 seconds","Every 30 seconds","Every minute","2","Section 3.1, A, “Scanning for Hazards” states, “Check your rear and side-view mirrors every two to five seconds to get a complete picture of your surroundings while driving.”"
"77.","If possible, what should you do if you need to navigate while driving?","Look at a map, phone, or GPS device","Let a passenger help you navigate","Drive with your eyes closed","Keep looking at your phone","2","Section 3.1, A, “Scanning for Hazards” states, “If a passenger is in your vehicle, let them help you navigate, so you do not become distracted by looking at a map, phone, or GPS device.”"
"78.","Aging-related vision loss is the reason why most adults are referred to optometrists.","True","False","","","1","Section 3.1, B, “Effects of Aging on Perceptual Ability” states, “A significant concern with aging-related vision loss is how it affects mature drivers on the road . . . It’s also why most adults get referred to an eye care specialist (optometrist) for sight testing and correction.”"
"79.","What is presbyopia?","A disease of the inner ear","A condition of the lens in the eye that causes visual clarity to dull over time","A condition affecting the rods in the retina","","2","Section 3.1, B, i, “Loss of Visual Clarity” states, “An inescapable side effect of aging is the loss of visual clarity over time. As you age, the lens in your eye begins to harden, causing the sharpness of your vision to dull . . . This is a naturally occurring condition known as presbyopia.”"
"80.","How can an eye doctor help with driving safety?","By tracking changes in visual clarity","By prescribing corrective lenses or updating existing prescriptions","By telling you to drive in the dark","Both A and B","4","Section 3.1, B, i, “Loss of Visual Clarity” states, “Regular visits to an eye doctor can help track changes in your visual clarity over time. The doctor may prescribe lenses to help refocus your eyes and aid driving. If you already have prescribed lenses, have yearly eye exams to update your prescription if needed.”"
"81.","What can you do to compensate for the loss of visual clarity while driving?","Avoiding driving in heavy rain, snow, or other adverse weather conditions","Stay an extra car length or two back from the vehicle ahead of you","Visit a vision specialist regularly to have your eyes checked","All of the above","4","Section 3.1, B, i, “Loss of Visual Clarity” states, “Some safe driving choices that can help compensate for the loss of visual clarity include:Visiting a vision specialist regularly to have your eyes checked. Not driving in heavy rain, snow, or other adverse weather conditions. [And] [s]taying an extra car length or two back from the vehicle ahead of you.” "
"82.","What happens to the rods in the retina as you age?","They become more sensitive to light and dark changes","They become less sensitive over time","They remain unchanged","They become stronger over time","2","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Part of the natural aging process is a decline of the rods in the retina that are sensitive to light and dark changes.“"
"83.","Peripheral vision declines as you age.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “As you age, your peripheral field of vision slowly narrows between one and three degrees each decade.”"
"84.","By the time you reach 70 or 80, how much can peripheral vision narrow?","By up to 20-30 degrees","By up to 30-40 degrees","By up to 10-20 degrees","It does not narrow as you age","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “As you age, your peripheral field of vision slowly narrows between one and three degrees each decade, eventually narrowing by up to 20-30 degrees by the time you reach 70 or 80.”"
"85.","It is unsafe to spend too much time compensating for diminished peripheral vision by looking from side to side.","True","False","","","1","Section 3.1, B, ii, “Diminished Peripheral Vision” states, “Poor peripheral vision can become a safety issue if you spend too much time compensating by looking from side to side.”"
