"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"273.","What is the main purpose of a safety belt?","To keep the car seat clean","To make sure you look fashionable","To prevent the car from stopping suddenly","To prevent your body from continuing to move forward in a crash","4","Section 5.1, A, “Why Is Wearing a Safety Belt So Important?” states, “Seat belts are so important because they stop your body from continuing to move forward in a crash.”"
"274.","Which of Newton's Laws of Motion best explains why seat belts are important in a crash?","First Law (Law of Inertia)","Second Law (Force = Mass x Acceleration)","Third Law (Action and Reaction)","Law of Gravity","1","Question A. First Law (Law of Inertia) B. Second Law (Force = Mass x Acceleration) C. Third Law (Action and Reaction) D. Law of Gravity Lesson 5.1, ""Safety Belts,"" states: ""Newton's Law of Inertia tells us that objects in motion stay in motion until acted upon by an outside force. For example, when traveling at 40 mph, if the car suddenly stops, your body continues going forward at 40 mph. Seat belts are so important because they stop your body from continuing to move forward in a crash."" "
"275.","What is the percentage of Florida drivers killed in auto accidents who don't wear seat belts in vehicles requiring safety belt use?","41%","5%","80%","15%","1","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states, “Forty-one percent of Florida drivers killed in auto accidents do not wear seat belts in vehicles requiring safety belt use.”"
"276.","How much does wearing a seat belt in the front seat of a passenger car reduce your risk of fatal injury?","7%","20%","45%","90%","3","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states,“Wearing a seat belt in the front seat of a passenger car lowers your risk of fatal injury by 45 percent and your risk of moderate to critical injury by half.” "
"277.","How much does wearing a seat belt in the front seat of a light truck reduce your risk of fatal injury?","6%","60%","20%","80%","2","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states, “In the front seat of a light truck, seat belt usage is even more protective, reducing your risk of fatal injury by 60 percent and moderate to critical injury by 65 percent.”"
"278.","What is the percentage of passengers who were not wearing seat belts among the 23,824 occupants of passenger vehicles killed in 2020?","10%","25%","51%","75%","3","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states,“51 percent of the 23,824 occupants of passenger vehicles killed in 2020 were not wearing seat belts.” "
"279.","How many lives were estimated to have been saved by seat belts from 1975 to 2017?","200,000","375,000","500,000","750,000","2","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states, “From 1975 to 2017, seat belts saved an estimated 374,276 lives.”"
"280.","How many lives were estimated to have been saved by seat belts in 2017 alone?","5,000","8,000","15,000","30,000","3","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states,“In 2017 alone, seat belts saved an estimated 14,955 lives.” "
"281.","An airbag alone is sufficient in the event of a crash.","True","False","","","2","Section 5.1, A, ii, “Air Bags Alone Are Not Only Insufficient, But Also Dangerous” states,“Some people may believe that if they don’t wear a seat belt, their car’s air bags will protect them in an accident. This is a dangerous misconception. Not only are air bags designed to work in tandem with seat belts, but they are dangerous if you are not wearing a seat belt when the air bags deploy.” "
"282.","What is the increase in seat belt effectiveness when used in combination with airbags?","5%","10%","80%","40%","4","Section 5.1, A, ii, “Air Bags Alone Are Not Only Insufficient, But Also Dangerous” states,“Air bags are essential and increase seat belts’ effectiveness by 40 percent, but you should never think of your air bags as a replacement for wearing your seat belt.” "
"283.","Who is required to wear a safety belt in Florida?","The driver of the vehicle only","The driver and front seat passengers","The driver, front seat passengers, and passengers under 18 who are not in a child restraint device","Everyone in the car","3","Section 5.1, B, “Drivers’ Legal Responsibilities Regarding Safety Belt Usage” states, “[T]he Florida Safety Belt Law (statute 316.614) legally mandates that certain people must wear safety belts while a vehicle is in motion: The driver of the vehicle. All front seat passengers. All passengers under 18 (unless in a child restraint device — see section 5.3).”"
"284.","Passengers over 18 are required to wear a seat belt when seated in the back seat of a vehicle in Florida.","True","False","","","2","Section 5.1, B, i, “Who Has To Wear a Seat Belt in Florida (and Who Doesn’t)?” states,“Although passengers over 18 are not legally required to wear a seat belt if seated in the back seat of the vehicle, they are strongly advised to do so — wearing a seat belt is an easy and effective way to protect yourself in an accident.” "
"285.","What is the legal consequence of failing to wear a seat belt in Florida?","A warning","A $30 fine","A $100 fine","Jail time","2","Section 5.1, B, ii, “Legal Consequences for Failing to Wear a Safety Belt” states, “In Florida, failure to wear a seat belt (when required by law) is considered a nonmoving traffic violation carrying a $30 fine.”"
"286.","Failing to wear your seat belt is considered a primary offense in Florida, so a police officer can pull you over for not wearing your seat belt.","True","False","","","1","Section 5.1, B, ii, “Legal Consequences for Failing to Wear a Safety Belt” states, “Since the Dori Slosberg and Katie Marchetti Safety Belt Law was passed in 2009, Florida has defined failing to wear your seat belt as a primary offense, meaning a police officer can pull you over solely for not wearing your seat belt.”"
"287.","What does the Florida Safety Belt Law define as ""restrained by a safety belt""?","Sitting in the car","Being restricted by an appropriately adjusted and fastened safety belt","Having a safety belt in the car","Holding onto something in the car","2","Section 5.1, C, “Proper Safety Belt Positioning and Adjustment” states, “The Florida Safety Belt Law (statute 316.614) defines safety belt use as follows: ‘“Restrained by a safety belt” means being restricted by an appropriately adjusted safety belt which is properly fastened at all times when a motor vehicle is in motion.”’"
"288.","Where should the lap belt of the safety belt be positioned?","Across your hips","Across your stomach","Across your chest","Across your neck","1","Section 5.1, C, “Proper Safety Belt Positioning and Adjustment” states, “When you fasten your seat belt, make sure your lap belt is sitting across your hips (not your stomach).”"
"289.","Where should the shoulder belt of the safety belt be positioned?","Across your hips","Across your stomach","Across your chest (in the middle, well away from your neck)","Across your neck","3","Section 5.1, C, “Proper Safety Belt Positioning and Adjustment” states, “When you fasten your seat belt, make sure your lap belt is sitting across your hips (not your stomach), and your shoulder belt is stretched across your chest (in the middle, well away from your neck) ‘with minimal, if any, slack.’”"
"290.","Seat belts are one of the key life-saving factors in a vehicle collision.","True","False","","","1","Section 5.1, A, “Why Is Wearing a Safety Belt So Important?” states, “A safety or seat belt is one of the key life-saving factors in a vehicle collision.” "
"291.","Seat belts keep you and other passengers from being ejected from the car or hitting the windshield, dashboard, steering wheel, or other passengers.","True","False","","","1","Section 5.1, A, “Why Is Wearing a Safety Belt So Important?” states, “They also keep you and other passengers from being ejected from the car or hitting the windshield, dashboard, steering wheel, or other passengers.”"
"292.","Wearing a seat belt makes you significantly less likely to be killed in an accident.","True","False","","","1","Section 5.1, A, i, “Statistics Showing the Importance of Safety Belt Usage” states,“ Wearing a seat belt makes you significantly less likely to be killed in an accident.” "
"293.","Air bags are dangerous if used without seat belts.","True","False","","","1","Section 5.1, A, ii, “Air Bags Alone Are Not Only Insufficient, But Also Dangerous” states,“Not only are air bags designed to work in tandem with seat belts, but they are dangerous if you are not wearing a seat belt when the air bags deploy — being thrown into a ‘rapidly opening frontal air bag’ can cause injury or even death.” "
"294.","If you have a medical condition that makes using a seat belt inappropriate/dangerous, you are not required to use one by Florida law as long as you carry a copy of a physician’s certification that this is the case.","True","False","","","1","Section 5.1, B, i, “Who Has To Wear a Seat Belt in Florida (and Who Doesn’t)?” states,“There are also a few groups who are not required to wear safety belts under Florida law due to exemptions: Anyone with a medical condition that makes using a seat belt inappropriate or dangerous, as long as they have been certified by a physician (and carry a copy of that certification with them when driving or riding in a vehicle).” "
"295.","Even though they are not legally required to do so, passengers over 18 who are seated in the back seat of the vehicle should still wear a seat belt to protect themselves.","True","False","","","1","Section 5.1, B, i, “Who Has To Wear a Seat Belt in Florida (and Who Doesn’t)?” states, “Although passengers over 18 are not legally required to wear a seat belt if seated in the back seat of the vehicle, they are strongly advised to do so — wearing a seat belt is an easy and effective way to protect yourself in an accident.” "
"296.","Failure to wear a seat belt (when required by law) is considered a moving traffic violation in Florida.","True","False","","","2","Section 5.1, B, ii, “Legal Consequences for Failing to Wear a Safety Belt” states, “In Florida, failure to wear a seat belt (when required by law) is considered a nonmoving traffic violation carrying a $30 fine.”"
"297.","The shoulder belt on your seat belt can be tucked behind your back or arm.","True","False","","","2","Section 5.1, C, “Proper Safety Belt Positioning and Adjustment” states, “The shoulder belt should never be tucked behind your back or arm; doing so could lead to internal injuries in a crash.”"
