"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"348.","Changes in visual perception, hearing, and cognitive function are some of the age-related changes that can limit a person’s ability to drive safely.","True","False","","","1","Section 6.1, “Managing and Compensating for the Physiological Effects of Aging While Driving” states, “Declines in vision, hearing, and cognitive function, as well as changes in reaction time and physical strength, can make driving more challenging and increase the risk of accidents.”  "
"349.","What are some of the vision issues that can negatively impact driving as a result of aging?","Difficulty seeing in the dark","Difficulty distinguishing colors","Reduced reaction and recovery time to glare","All of the above","4","Section 6.1, A, “Compensating for Vision Loss” states, “Aging can cause significant vision issues that negatively impact your ability to drive, including: . . . Difficulty distinguishing colors/color blindness. Reduced reaction and recovery time to glare . . . Difficulty seeing in the dark.”"
"350.","What are some of the ways to compensate for the effects of natural, age-related vision loss while driving?","Regularly visiting a vision specialist to check your eyes","Avoid driving in heavy rain, snow, or other adverse weather conditions, especially at night","Familiarize yourself with the shapes of traffic signs","All of the above","4","Section 6.1, A, “Compensating for Vision Loss” states, “Here are some general ways you can compensate for the effects of natural, age-related vision loss: Regularly visit a vision specialist to check your eyes and follow your specialist’s medical recommendations . . . Avoid driving in heavy rain, snow, or other adverse weather conditions, especially at night or in areas with low illumination levels . . . Be familiar with the shapes of traffic signs.”"
"351.","If you have hearing loss, what is one device your doctor may recommend, depending on the type and severity of your hearing loss?","Hearing aids","Eye drops","Anti-inflammatory medication","Pain relievers","1","Section 6.1, B, “Compensating for Hearing Loss” states, “There are certain devices your doctor may recommend depending on the type and severity of your hearing loss. These devices can help you with driving and other everyday activities:  Hearing aids.” "
"352.","How can hearing loss raise safety concerns for drivers?","It can make it more challenging to pick up on early auditory traffic cues like emergency vehicles approaching","It can make it more challenging to see the road signs","It can make it more challenging to drive at night","It can make it more challenging to distinguish colors","1","Section 6.1, B, “Compensating for Hearing Loss” states, “Hearing loss can make it more challenging to pick up on early auditory traffic cues like emergency vehicles approaching and other vehicles using their horns or approaching your blind spot.”"
"353.","What are some of the ways to compensate for hearing loss while driving?","Reducing interior noise by keeping the radio/music at a low level","Checking your dashboard regularly with quick glances","Becoming a more observant driver","All of the above","4","Section 6.1, B, “Compensating for Hearing Loss” states, “Here are some other ways you can compensate for hearing loss while driving: Reduce interior noise. Don't play your radio or music too loud and ask passengers in the vehicle to keep noise to a minimum. Check your dashboard regularly with quick glances so you notice any maintenance lights and will notice if you have left your turn signal on. Become a more observant driver.”"
"354.","What is one of the most common musculoskeletal conditions that can limit a person's ability to drive as they age?","Arthritis","Broken bones","Migraine","Stomach ache","1","Section 6.1, C, “Compensating for Arthritis-Related Movement Limitations” states, “Musculoskeletal conditions — including pain or chronic conditions affecting the joints, muscles, ligaments, tendons, or bones — become increasingly common with age. One of the most common is arthritis, a painful condition that occurs when the joints become inflamed or swollen.”"
"355.","What fraction of US adults over age 65 have been diagnosed with arthritis according to a 2015 study by the CDC?","Almost half","About a quarter","About one-tenth","About four-fifths","1","Section 6.1, C, “Compensating for Arthritis-Related Movement Limitations” states, “Nearly half of U.S. adults over age 65 have been diagnosed with arthritis, according to a 2015 study by the CDC. “"
"356.","Which parts of the body are commonly affected by arthritis when it comes to driving?","Neck","Hands","Legs and feet","All of the above","4","Section 6.1, C, “Compensating for Arthritis-Related Movement Limitations” states, “When driving with arthritis, you might find that weakened hands make it more difficult to grasp and turn the steering wheel. You may also have trouble turning your head from side to side to observe your surroundings. Arthritis can also affect your legs and feet — affecting your ability to apply pressure to the pedals and move your foot between the gas and accelerator.”"
"357.","How might arthritis affect a person's ability to drive?","Difficulty grasping and turning the steering wheel","Difficulty applying pressure to the pedals","Difficulty moving their foot between the gas and accelerator","All of the above","4","Section 6.1, C, “Compensating for Arthritis-Related Movement Limitations” states,“When driving with arthritis, you might find that weakened hands make it more difficult to grasp and turn the steering wheel. You may also have trouble turning your head from side to side to observe your surroundings. Arthritis can also affect your legs and feet — affecting your ability to apply pressure to the pedals and move your foot between the gas and accelerator.”  "
