"S.No","Question","Option A","Option B","Option C","Option D","Answer","Explanation"
"31.","What is the first collision during a car crash also called?","Vehicle collision","Human collision","Internal collision","None of the above","1","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “When you think of car crashes, you probably think of a vehicle crashing into another vehicle or object as a single, major event. But that’s only the first collision during a crash — the part commonly referred to as the ‘vehicle collision.’”"
"32.","What is the second collision during a car crash also called?","Vehicle collision","Human collision","Unsecured objects inside the vehicle","None of the above","2","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “The second collision involves the person and/or objects colliding within the vehicle — also called the ‘human collision.’”"
"33.","What is the law of inertia helpful in understanding?","Only the first collision","Only the second collision","The series of three collisions that happen during a car crash","None of the above","3","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “Newton’s second law, the law of inertia, is helpful in understanding the series of three collisions that occur during a car crash.”"
"34.","Wearing a seat belt is essential for safety.","True","False","","","1","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “Because an object in motion will stay in motion until an outside force acts on it, unsecured objects inside the vehicle will continue to move until they hit something, which causes the second collision. This includes your body if you are not wearing a seat belt — which is why wearing a seat belt is essential for safety.” "
"35.","What is the most serious potential outcome of the third collision during a car crash?","No injuries","Minor injuries","Severe internal injuries","","3","Section 2.2, “The First, Second, and Third Collisions That Happen During a Car Crash” states, “During the third collision . . . passengers’ internal organs continue moving at whatever speed the car and its occupants were moving before the collision until the organs hit their body frames, other organs, or the skeletal system. This can lead to severe internal injuries.”"
"36.","What is Newton's First Law of Motion?","An object at rest will remain at rest unless acted upon by a force.","Force equals mass times acceleration.","When two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction.","","1","Section 2.1, A, i, “Newton’s First Law: The Law of Inertia” states, “Newton’s first law states that an object at rest will remain at rest, and an object moving at a constant speed in a straight line will continue doing so indefinitely unless a force acts upon the object.”"
"37.","What is the relationship between speed and the severity of a car crash?","Speed is not related to the severity of a car crash.","Speed is a highly significant factor in the severity of a car crash.","Speed is a somewhat significant factor in the severity of a car crash.","","2","Section 2.1, A, “Explaining Speed and Impact Severity in Terms of Newton’s Three Laws of Motion” states, “Speed is a highly significant factor in the severity of car crashes — as you might have guessed, the faster your car is moving at the time of a collision, the more serious the accident is likely to be.”"
"38.","What is the relationship between mass and the force of a car crash?","The force of a car crash is independent of mass.","The force of a car crash decreases if the mass of the car increases.","The force of a car crash increases if the mass of the car increases.","","3","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “Newton's second law also means that if a larger car (a car with greater mass) crashes, it generates more force and damage than a smaller car moving at the same speed.”"
"39.","What happens to the passengers in a car crash according to Newton's First Law?","Passengers will continue to move unless a force stops them.","Passengers will stop moving immediately.","Passengers will move in a straight line indefinitely.","","1","Section 2.1, A, i, “Newton’s First Law: The Law of Inertia” states, “In a car crash . . . passengers will continue to move unless they’re stopped by something, whether that’s a seat belt, the seat in front of them (if seated in the backseat), the dashboard, etc.”"
"40.","What is Newton's Third Law of Motion?","An object at rest will remain at rest unless acted upon by a force.","Force equals mass times acceleration.","When two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction.","","3","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “According to Newton’s third law, when two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction.”"
"41.","How does the speed of a car affect the amount of force it exerts on an object in a collision according to Newton's Third Law?","The speed of a car has no effect on the amount of force it exerts on an object in a collision according to Newton's Third Law.","The slower the car, the more force it exerts on an object in a collision.","The faster the car, the more force it exerts on an object in a collision.","","3","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “Newton’s third law states that the amount of force the car exerts onto the wall when crashing into it is equal to the amount of force that the wall exerts back onto the car. This means that the faster the car is going, the more the car and its passengers will be damaged by the impact.”"
"42.","Is slowing your driving speed likely to make car accidents less severe according to the text?","No, slowing your driving speed is not likely to make car accidents less severe.","The text does not mention the effect of slowing driving speed on car accidents.","Yes, slowing your driving speed is likely to make car accidents less severe.","","3","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “Slowing your driving speed can lower the likelihood of an accident and make accidents less severe — and, most importantly, less likely to cause serious injury or death.”"
"43.","The chance of a fatality increases by 4 percent for every 1 percent increase in driving speed.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Every 1 percent increase in driving speed increases a driver’s chance of an accident by 2 percent, the chance of a serious injury by 3 percent, and the chance of a fatality by about 4 percent.” "
"44.","Newton’s Second Law is expressed mathematically as F = ma (“force equals mass times acceleration”).","True","False","","","1","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “Newton’s second law states that when a force acts upon an object, the object’s acceleration depends on the amount of force being applied and the mass of the object being acted upon. This is expressed mathematically as F = ma (‘force equals mass times acceleration’).”  "
"45.","Speeding contributes to more injuries than we can track in the U.S.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “Speeding contributes to almost 10,000 deaths annually in the U.S. and more injuries than we can track.” "
"46.","According to Newton's Second Law of Motion, the force of a car crash increases if the speed of acceleration increases.","True","False","","","1","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “The force of a car crash is equal to the mass multiplied by acceleration. Therefore, the force of a car crash increases if the speed of acceleration increases.” "
"47.","It causes less damage if a larger car crashes than if a smaller car moving at the same speed crashes.","True","False","","","2","Section 2.1, A, ii, “Newton’s Second Law: The Law of Force and Acceleration” states, “Newton's second law also means that if a larger car (a car with greater mass) crashes, it generates more force and damage than a smaller car moving at the same speed.” "
"48.","Newton's Third Law of Motion states that for every action (force) in nature, there is an equal and opposite reaction.","True","False","","","1","Section 2.1, A, iii, “Newton’s Third Law: The Law of Action and Reaction” states, “According to Newton’s third law, when two objects interact, they apply forces to each other that are equal in magnitude but opposite in direction. This means that ‘for every action (force) in nature, there is an equal and opposite reaction.’” "
"49.","If you are involved in a collision on level ground at a speed of 65 mph, the force of impact is roughly equivalent to driving your car off of the roof of a 12-story building and hitting the ground.","True","False","","","1","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “The force of impact of a collision on level ground at 65 miles per hour is about the same as if you drove your car off the roof of a 12-story building and hit the ground.” "
"50.","Every 1 percent increase in driving speed increases the chance of a serious injury by 1 percent.","True","False","","","2","Section 2.1, B, “Statistics That Illustrate the Relationship Between Speed and Car Crashes” states, “According to a study from the University of California Berkeley, every 1 percent increase in driving speed increases a driver’s chance of . . . a serious injury by 3 percent.” "
